blind_id,pmid,model,stratum,codex_verdict,verdict,substantive,max_severity,E,direction,E_normalization_status
HR-0001,18502269,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0002,25040985,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0003,22268263,aliyun/qwen3.8-max,random_10pct,no_error,strict_contract_error,no,1,E03,alteration,parsed_declared_codes
HR-0004,32228577,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0005,21399532,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0006,40311690,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E04,alteration,parsed_declared_codes
HR-0007,33283757,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0008,16773960,aliyun/qwen3.7-max,random_10pct,no_error,strict_contract_error,yes,1,E10,binding,parsed_declared_codes
HR-0009,25673191,aliyun/glm-5.2,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0010,16795068,aliyun/glm-5.2,random_10pct,no_error,strict_contract_error,no,1,E08,alteration,parsed_declared_codes
HR-0011,32971582,aliyun/kimi-k2.6,census_sev_ge3,strict_contract_error,strict_contract_error,no,2,"E03,E07",alteration,parsed_declared_codes
HR-0012,30525278,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0013,28530702,aliyun/deepseek-v4-pro,random_10pct,no_error,strict_contract_error,yes,1,E05,omission,parsed_declared_codes
HR-0014,16896641,aliyun/kimi-k2.6,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0015,42304127,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0016,22804749,aliyun/kimi-k2.6,census_sev_ge3,strict_contract_error,strict_contract_error,no,2,E05,,parsed_declared_codes
HR-0017,25532570,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,E08,alteration,parsed_declared_codes
HR-0018,22329370,aliyun/qwen3.7-max,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E04,alteration,parsed_declared_codes
HR-0019,18160456,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0020,25488197,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,"E03,E05","alteration,omission",parsed_declared_codes
HR-0021,18535592,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,2,"E03,E10","alteration,binding",parsed_declared_codes
HR-0022,22736635,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0023,26634615,aliyun/deepseek-v4-pro,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0024,42149735,aliyun/kimi-k2.6,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E06,fabrication,parsed_declared_codes
HR-0025,20492005,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0026,16759989,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0027,24762000,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0028,40471453,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0029,33221810,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0030,21067014,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0031,26391729,aliyun/qwen3.7-max,random_10pct,strict_contract_error,strict_contract_error,no,1,"E06,E10","fabrication,binding",parsed_declared_codes
HR-0032,21332566,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,"E03,E05,E06","alteration,fabrication,omission",parsed_declared_codes
HR-0033,28766723,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0034,18184072,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0035,18478625,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0036,16940191,aliyun/kimi-k2.6,random_10pct,no_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0037,25814824,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0038,18753421,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0039,29256876,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0040,38381960,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0041,26856220,aliyun/qwen3.7-max,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E06,fabrication,parsed_declared_codes
HR-0042,19357695,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,yes,3,E08,alteration,parsed_declared_codes
HR-0043,28546546,aliyun/kimi-k2.6,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0044,29175799,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0045,26551298,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0046,33984862,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0047,38262129,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0048,33388644,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0049,24726441,aliyun/deepseek-v4-flash,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0050,21995559,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0051,27722893,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0052,34839048,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0053,32484448,aliyun/qwen3.7-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0054,37653357,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0055,22546820,aliyun/glm-5.2,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0056,19439456,aliyun/qwen3.8-max,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0057,23880570,aliyun/deepseek-v4-pro,census_sev_ge3,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0058,27957795,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0059,23971677,aliyun/deepseek-v4-pro,random_10pct,no_error,no_error,no,0,,,explicit_no_code
HR-0060,20642944,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
HR-0061,21273939,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,yes,1,"E05,E06","fabrication,omission",parsed_declared_codes
HR-0062,26730842,aliyun/glm-5.2,random_10pct,strict_contract_error,strict_contract_error,no,1,E10,binding,parsed_declared_codes
HR-0063,35914803,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0064,18820280,aliyun/deepseek-v4-flash,census_sev_ge3,strict_contract_error,strict_contract_error,yes,2,E07,alteration,parsed_declared_codes
HR-0065,27874837,aliyun/kimi-k2.6,random_10pct,no_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0066,18336730,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,E06,fabrication,parsed_declared_codes
HR-0067,26391729,aliyun/deepseek-v4-flash,random_10pct,strict_contract_error,strict_contract_error,no,1,"E05,E06,E07","alteration,fabrication,omission",parsed_declared_codes
HR-0068,18430196,aliyun/kimi-k2.6,random_10pct,strict_contract_error,no_error,no,0,,,explicit_no_code
